ID,start,end,length
0,0,631.3,631.3
1,631.3,1156.2,524.9
2,1156.2,1807.5,651.3
3,1807.5,2362.7,555.2
4,2362.7,2685.2,322.5
5,2685.2,3000.3,315.1
6,3000.3,3332.9,332.6
7,3332.9,3634.7,301.8
8,3634.7,4230.7,596
9,4230.7,4543.8,313.1
10,4543.8,4855.1,311.3
