ID,start,end,length (sec)
0,0,549,549
1,549,893.9,344.9
2,893.9,1226.8,332.9
3,1226.8,1773.2,546.4
4,1773.2,2094,320.8
5,2094,2426.4,332.4
6,2426.4,3129,702.6
7,3129,3854.2,725.2
8,3854.2,4241.9,387.7
9,4241.9,4658,416.1
10,4658,5297.9,639.9
