ID,start,end,length (sec)
0,0,615.8,615.8
1,615.8,1251.5,635.7
2,1251.5,1892.4,640.9
3,1892.4,2272.7,380.3
4,2272.7,2653.2,380.5
5,2653.2,3076.3,423.1
6,3076.3,3367.3,291
7,3367.3,3895.9,528.6
8,3895.9,4379.7,483.8
9,4379.7,4790,410.3
10,4790,5284.3,494.3
