ID,start,end,length
0,0,724.5,724.5
1,724.5,1047,322.5
2,1047,1477.3,430.3
3,1477.3,2150.3,673
4,2150.3,2734.9,584.6
5,2734.9,3119,384.1
6,3119,3465,346
7,3465,4109.4,644.4
8,4109.4,4731.4,622
9,4731.4,5086.2,354.8
10,5086.2,5466.3,380.1
