id,start,end,length,bkps
0,0,288.1,288.1,58
1,288.1,566.0,277.9,123
2,566.0,1151.7,585.7,241
3,1151.7,1409.1,257.39999999999986,309
4,1409.1,1806.9,397.8000000000002,371
5,1806.9,2088.4,281.5,411
6,2088.4,2504.0,415.5999999999999,468
7,2504.0,2917.5,413.5,563
8,2917.5,3292.6,375.0999999999999,624
9,3292.6,3701.4,408.8000000000002,714
10,3701.4,4116.8,415.4000000000001,837
11,4116.8,4917.0,800.1999999999998,915
