id,start,end,length,bkps
0,0,763.3,763.3,105
1,763.3,1466.7,703.4000000000001,336
2,1466.7,2017.5,550.8,493
3,2017.5,2682.4,664.9000000000001,685
4,2682.4,3881.5,1199.1,881
5,3881.5,4611.6,730.1000000000004,1068
