ID,start,end,length (sec)
0,0,627.9,627.9
1,62.79,961.7,898.91
2,96.17,1317.6,1221.43
3,131.76,1578.4,1446.64
4,157.84,1984.9,1827.06
5,198.49,2633.5,2435.01
6,263.35,3345.6,3082.25
7,334.56,4035,3700.44
8,403.5,4429,4025.5
9,442.9,4730.3,4287.4
10,473.03,5365.2,4892.17
