ID,start,end,length
0,0,537.9,537.9
1,537.9,903.0,365.1
2,903.0,1533.0,630.0
3,1533.0,1899.2,366.20000000000005
4,1899.2,2286.2,386.9999999999998
5,2286.2,2617.4,331.2000000000003
6,2617.4,2974.3,356.9000000000001
7,2974.3,3975.7,1001.3999999999996
8,3975.7,4557.0,581.3000000000002
9,4557.0,5286.5,729.5
10,5286.5,5861.1,574.6000000000004
