1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1386,0,0,0,0,0.004016064,0,0,0,0,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004016064,0,0,0,0,0,0.012048193,0.004016064,0.004016064,0,0,0,0,0,0,0,0,0,0,0.008032129,0.004016064,0,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0
1387,0,0,0,0,0.004016064,0,0,0,0,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004016064,0,0,0,0,0,0.012048193,0.004016064,0.004016064,0,0,0,0,0,0,0,0,0,0,0.008032129,0.004016064,0,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0
1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711,0.015873016,0,0,0,0,0.007936508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007936508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712,0.015873016,0,0,0,0,0.007936508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007936508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1762,0.006993007,0,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0.004016064,0,0,0,0,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004016064,0,0,0,0,0,0.012048193,0.004016064,0.004016064,0,0,0,0,0,0,0,0,0,0,0.008032129,0.004016064,0,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0
