id,start,end,length,bkps
0,0,682.6,682.6,92
1,682.6,1237.2,554.6,186
2,1237.2,1854.4,617.2,298
3,1854.4,2456.4,602.0,444
4,2456.4,2935.6,479.1999999999998,509
5,2935.6,3573.5,637.9000000000001,604
