id,start,end,length,bkps
0,0,374.7,374.7,22
1,374.7,682.6,307.90000000000003,92
2,682.6,902.5,219.89999999999998,150
3,902.5,1237.2,334.70000000000005,186
4,1237.2,1510.3,273.0999999999999,272
5,1510.3,1854.4,344.10000000000014,298
6,1854.4,2456.4,602.0,444
7,2456.4,2723.5,267.0999999999999,459
8,2723.5,2935.6,212.0999999999999,509
9,2935.6,3573.5,637.9000000000001,604
10,3573.5,4176.5,603.0,656
11,4176.5,4440.0,263.5,695
