ID,start,end,length
0,0,288.1,288.1
1,288.1,566.0,277.9
2,566.0,1145.0,579.0
3,1145.0,1806.9,661.9000000000001
4,1806.9,2430.2,623.2999999999997
5,2430.2,2841.4,411.2000000000003
6,2841.4,3232.0,390.5999999999999
7,3232.0,3648.6,416.5999999999999
8,3648.6,3949.2,300.5999999999999
9,3949.2,4847.2,898.0
10,4847.2,5469.9,622.6999999999998
